Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,HealyWarningsOnSmoking,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,TreatmentInHealthFacilities,BanOnEducationalFacilites,BanOnGovernmentFacilites,BanOnHealthcareFacilites,BanOnIndoorOffices,BanOnPublicTransport,BanOnPubsAndBars,BanOnRestaurants,BanOnUniversities,RegulationsOnSmokeFreeEnvironments
Albania,45.7 [35.7 – 56.7],53.2 [42.6 – 64.9],53.2 [42.6 – 64.9],No,All,150,Data not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,0
Algeria,11.7 [6.9 – 17.1],15.5 [11 – 19.8],20 [12.5 – 29.5],No,DZD,85,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1
Andorra,28.4 [16.9 – 39],34.7 [25.7 – 45],34.7 [25.7 – 45],Not applicable,EUR,2.4,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Argentina,25.3 [20.5 – 29.9],28 [23.1 – 33.3],30.1 [24.1 – 37.2],Not applicable,ARS,5.38,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Armenia,28.2 [23.5 – 33.3],30 [25.6 – 35],30 [25.6 – 35],Not applicable,AMD,550,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,3
Australia,14.7 [9.8 – 19.4],17.9 [15.2 – 21],20.4 [17.3 – 24.2],No,AUD,11.98,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Austria,33.8 [26.5 – 40.9],36.1 [28.9 – 43],36.1 [28.9 – 43],No,EUR,4,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Azerbaijan,18.2 [12.6 – 24.9],22.8 [16.4 – 30.7],22.8 [16.4 – 30.7],Not applicable,AZN,0.7,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,0
Bahamas,2.9 [1.2 – 4.7],18.4 [11.8 – 26.8],18.4 [11.8 – 26.8],Not applicable,BSD,2.69,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Bahrain,14.3 [9.8 – 19],34.4 [26.1 – 44.2],42.2 [25.6 – 59],Not applicable,BHD,0.7,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Bangladesh,20.7 [16 – 25.3],24.5 [20.3 – 28.8],43.5 [35.4 – 52.7],Not applicable,BDT,17,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,3
Barbados,10.7 [6.5 – 16.1],2.4 [1.5 – 3.7],2.6 [1.6 – 3.5],Not applicable,BBD,11,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Belarus,28.7 [23.7 – 33.9],31 [25.8 – 36.1],31 [25.8 – 36.1],Not applicable,BYR,"1,150",Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Belgium,25.2 [20 – 30.7],27 [22.1 – 32.5],27 [22.1 – 32.5],No,EUR,4.84,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Benin,5 [3.4 – 6.4],13.6 [10.6 – 17.3],17.6 [14.1 – 21.3],No,XOF,500,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,6
Bosnia and Herzegovina,33.6 [24.5 – 42.7],41.4 [30.6 – 52.6],41.4 [30.6 – 52.6],Not applicable,BAM,2.3,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Botswana,25.3 [16.4 – 34.3],32.1 [23.7 – 40.4],26.4 [20.8 – 33],Not applicable,BWP,18,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Brazil,15.3 [12 – 18.4],17.3 [14.2 – 20.7],22.3 [16.5 – 27.9],No,BRL,3.25,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,6
Brunei Darussalam,2.7 [1.6 – 3.8],28.9 [22.4 – 36.3],28.9 [22.4 – 36.3],No,BND,2.24,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Bulgaria,39.6 [31.8 – 47.1],43.1 [35.4 – 51.7],43.1 [35.4 – 51.7],No,BGN,4.12,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Burkina Faso,10.8 [8.1 – 13.8],24.4 [18.7 – 30.3],20.4 [15 – 26.1],No,XOF,500,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Burundi,17 [10.5 – 23.7],2.7 [1.6 – 4.1],22.3 [15.7 – 28.9],Not applicable,BIF,800,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Cambodia,3.4 [2.8 – 4.1],3.7 [3 – 4.3],30.6 [25.1 – 36.3],Not applicable,USD,0.33,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Cameroon,15 [11.2 – 19.6],15 [11.2 – 19.6],17.5 [13.3 – 21.6],No,XAF,500,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,2
Canada,17.6 [14.9 – 20.5],18.2 [15.4 – 21.2],24.7 [19.8 – 30],No,CAD,8.68,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,10
Chad,12.4 [8.7 – 16.2],18 [12.7 – 23.3],22.2 [14.6 – 29.5],No,XAF,500,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,0
Chile,37.1 [29.7 – 45.3],48.3 [35.5 – 63],48.3 [35.5 – 63],Yes,CLP,"1,188",Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
China,24.4 [19.6 – 29.2],26.6 [21.9 – 31.5],26.6 [21.9 – 31.5],Not applicable,CNY,7.57,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,2
Colombia,5.1 [3.9 – 6.6],16.2 [12.5 – 20.9],16.2 [12.5 – 20.9],Yes,COP,"1,880",Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,6
Comoros,21.1 [16 – 26.3],25.4 [19.6 – 31.9],26.6 [19.9 – 33.6],Not applicable,KMF,500,Data not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,3
Congo,17.9 [12 – 23.4],10.3 [8.4 – 12.4],2.7 [1.8 – 3.6],Not applicable,XAF,500,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Cook Islands,26.3 [15.9 – 35.1],32.7 [25.4 – 40.1],32.7 [25.4 – 40.1],No,NZD,8.2,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Costa Rica,17 [13 – 21.3],19 [14.1 – 23.7],19 [14.1 – 23.7],Not applicable,CRC,800,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Croatia,32.2 [23.9 – 39.4],35.6 [29.3 – 42.9],35.6 [29.3 – 42.9],No,HRK,18,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Cuba,24.8 [17 – 33.7],34.4 [22.6 – 47.4],34.4 [22.6 – 47.4],No,Data not available,Data not available,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,0
Cyprus,31.6 [24 – 39.3],38.8 [29.5 – 48.2],38.8 [29.5 – 48.2],No,EUR,2.82,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Czechia,28 [22.7 – 33.4],32.9 [27.8 – 39.1],32.9 [27.8 – 39.1],No,CZK,63,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Côte d’Ivoire,11.8 [6.6 – 17.3],14.5 [8.2 – 21.9],2.7 [1 – 5.2],No,XOF,700,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,0
Democratic People's Republic of Korea,16.4 [10.3 – 23.2],19.8 [15 – 26],19.8 [15 – 26],No,Data not available,Data not available,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Denmark,23 [18.6 – 27.4],25.3 [21.1 – 30.3],25.3 [21.1 – 30.3],No,DKK,37,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Dominican Republic,7 [5.3 – 8.8],12.6 [7.9 – 17.9],12.6 [7.9 – 17.9],No,DOP,120,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Egypt,16.7 [13.1 – 20.8],21.2 [17.7 – 25.5],21.2 [17.7 – 25.5],Yes,EGP,4,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,2
El Salvador,18.2 [12.3 – 27.3],2.9 [1.6 – 4.2],26.9 [18.3 – 39.1],No,USD,1.75,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1
Eritrea,11.1 [6.5 – 15.4],13.5 [9.6 – 17.6],18 [12 – 24.1],No,ERN,30,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Estonia,31.2 [24.1 – 37.7],34.7 [29.2 – 40.6],34.7 [29.2 – 40.6],No,EEK,31.91,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,6
Eswatini,14.9 [11.4 – 18.3],2.1 [1.4 – 2.8],18.9 [14.4 – 22.9],Not applicable,SZL,27.5,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Ethiopia,3.4 [2.6 – 4.2],4 [3.1 – 4.8],5.5 [4.2 – 6.9],Not applicable,ETB,7,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Fiji,23.5 [13.5 – 35.3],29 [19.6 – 40.8],29 [19.6 – 40.8],Not applicable,Data not available,Data not available,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Finland,20.6 [15.8 – 25.2],23.4 [19.3 – 27.2],23.4 [19.3 – 27.2],No,EUR,4.32,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,10
France,31.4 [24.4 – 38.8],34.5 [28 – 40.7],34.5 [28 – 40.7],No,EUR,5.6,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Gambia,12.9 [9.3 – 17.1],17.1 [12.4 – 22.7],2.4 [1.6 – 3.2],No,GMD,10,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Georgia,5.2 [4 – 6.4],5.6 [4.4 – 6.9],5.6 [4.4 – 6.9],No,GEL,1.8,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Germany,28.1 [22.9 – 33.9],30.3 [25.6 – 35.7],30.3 [25.6 – 35.7],No,EUR,4.95,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Ghana,3.3 [2.3 – 4.3],4.4 [3.1 – 5.8],4.7 [3.5 – 6],No,GHS,2,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Greece,39.4 [30.2 – 48.6],43.4 [34.6 – 53.4],43.4 [34.6 – 53.4],No,EUR,3.2,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Guyana,3.2 [2.1 – 4.2],3.2 [2.1 – 4.2],3.2 [2.1 – 4.2],Not applicable,GYD,300,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,2
Haiti,3.2 [2.3 – 4.2],4.3 [0 – 0],4.3 [0 – 0],Not applicable,Data not available,Data not available,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Hungary,32.1 [25.4 – 39],34.2 [28.4 – 41.1],34.2 [28.4 – 41.1],No,HUF,610.5,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Iceland,15.4 [9.8 – 21.2],19.4 [14.6 – 24.1],19.4 [14.6 – 24.1],No,ISK,900,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,10
India,12.7 [10.1 – 15.3],23.3 [18.6 – 27.9],34.8 [27.5 – 43.4],Yes,INR,70,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Indonesia,30.8 [25.1 – 37],30.8 [25.1 – 37],68.7 [56 – 81.5],Not applicable,IDR,"13,125",Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1
Iran (Islamic Republic of),10.5 [7.9 – 13.7],2.4 [1.8 – 3.1],28.9 [23.8 – 35],Yes,IRR,"4,739",Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Iraq,2.5 [1.2 – 4],36.3 [26.8 – 47.1],43.1 [31.9 – 54.4],Not applicable,IQD,500,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ireland,25.1 [20.8 – 30.3],28.2 [22.3 – 34.1],28.2 [22.3 – 34.1],No,EUR,8.55,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,10
Israel,23.7 [18.9 – 28.5],27.8 [21.6 – 34.1],27.8 [21.6 – 34.1],No,ILS,21,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Italy,23.9 [20.2 – 27.8],24.7 [21.1 – 28.6],24.7 [21.1 – 28.6],No,EUR,3.7,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Jamaica,17.8 [11.9 – 22.7],22.1 [13.7 – 33.4],22.1 [13.7 – 33.4],Not applicable,JMD,580,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Japan,25.4 [21.4 – 30.1],26.4 [22.3 – 30.7],26.4 [22.3 – 30.7],No,JPY,300,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Kazakhstan,44.5 [36.2 – 53.3],47.8 [39.6 – 56.6],47.8 [39.6 – 56.6],No,KZT,100,Data not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,4
Kenya,10.2 [8.3 – 12.4],12.5 [9.9 – 15.2],25.1 [19.8 – 29.8],No,KES,100,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Kiribati,46.9 [27.6 – 65.5],58.1 [44.9 – 72],58.1 [44.9 – 72],Not applicable,AUD,6.4,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Kuwait,15.4 [9.3 – 21.1],3.4 [2.5 – 4.3],4.5 [3.2 – 5.9],Not applicable,KWD,0.47,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Kyrgyzstan,3.4 [2.5 – 4.5],4 [2.8 – 5.2],4 [2.8 – 5.2],Yes,KGS,23,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
