Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,HealyWarningsOnSmoking,CheapestBrandCigaretteCurrency,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,PremiumBrandCigarettePrice,TreatmentInHealthFacilities,BanOnEducationalFacilites,BanOnGovernmentFacilites,BanOnHealthcareFacilites,BanOnIndoorOffices,BanOnPublicTransport,BanOnPubsAndBars,BanOnRestaurants,BanOnUniversities,RegulationsOnSmokeFreeEnvironments
Albania,43.3 [31.2 – 59.2],50.5 [34.8 – 67.2],50.5 [34.8 – 67.2],No,200,All,240,320,Yes in some,,,,,,,,,
Algeria,11.1 [5.9 – 16.4],14.5 [10.3 – 19.5],18.8 [11.3 – 27.2],No,45,DZD,300,300,Yes in some,,,,,,,,,
Andorra,27.7 [14.6 – 40.8],33.8 [22 – 47.2],33.8 [22 – 47.2],Not applicable,2.8,EUR,3.6,3.6,No,,,,,,,,,
Argentina,19.2 [13.9 – 24.3],21.1 [15.4 – 27.5],21.8 [15.3 – 29.1],Yes,28.57,ARS,60,63,Yes in most,,,,,,,,,
Armenia,25 [19.6 – 30.3],26.7 [21.8 – 31.7],26.7 [21.8 – 31.7],Not applicable,300,AMD,680,700,Yes in some,,,,,,,,,
Australia,12.9 [7.8 – 17.2],14.1 [11.3 – 16.7],16.2 [13.1 – 19.4],No,20.75,AUD,20.75,25.2,Yes in most,,,,,,,,,
Austria,27 [20.8 – 33.1],29.1 [23 – 35.3],29.1 [23 – 35.3],No,4.4,EUR,5.5,5.5,Yes in some,,,,,,,,,
Azerbaijan,15.6 [9.4 – 21.3],19.6 [13.2 – 27.1],19.6 [13.2 – 27.1],Not applicable,0.6,AZN,1.2,2.6,No,,,,,,,,,
Bahamas,2.5 [0.9 – 4.3],18.6 [10.1 – 29.5],18.6 [10.1 – 29.5],Not applicable,Data not available,Data not available,Data not available,Data not available,Yes in some,,,,,,,,,
Bahrain,13.8 [7.4 – 21.8],3.8 [1.7 – 6.4],41.5 [21.1 – 63.3],Not applicable,0.8,BHD,2,2,Yes in some,,,,,,,,,
Bangladesh,17.7 [13.5 – 22.3],20.9 [17.1 – 25.7],39.1 [29.7 – 48],Yes,80,BDT,80,240,Yes in some,,,,,,,,,
Barbados,10.1 [5.3 – 17.2],2 [1.1 – 3.4],2.3 [1.3 – 3.5],Yes,8.59,BBD,14.65,18.99,No,,,,,,,,,
Belarus,39.9 [31.6 – 47.7],26.6 [21.9 – 32.1],26.6 [21.9 – 32.1],Not applicable,0.95,BYN,1.1,3.1,Yes in most,,,,,,,,,
Belgium,23.4 [17.2 – 29.4],25 [18.9 – 31.2],25 [18.9 – 31.2],No,5.5,EUR,6.6,6.6,Yes in some,,,,,,,,,
Benin,4.1 [2.7 – 5.6],11.3 [8.1 – 15.4],12.4 [8.9 – 15.8],No,225,XOF,500,"1,000",No,,,,,,,,,
Bosnia and Herzegovina,30.9 [19.7 – 41.8],38.3 [23.2 – 54.2],38.3 [23.2 – 54.2],Not applicable,4,BAM,5.5,5.8,Yes in most,,,,,,,,,
